#bin	name	chrom	strand	txStart	txEnd	cdsStart	cdsEnd	exonCount	exonStarts	exonEnds	score	name2	cdsStartStat	cdsEndStat	exonFrames
135	NM_001003154	chr1	-	65458050	65817865	65458064	65817661	39	65458050,65461677,65463872,65483422,65486225,65487270,65487678,65488448,65490224,65491401,65493598,65494826,65496949,65498972,65504136,65504663,65525274,65549308,65568039,65577714,65586154,65588264,65588408,65591857,65592594,65602008,65606442,65651598,65652470,65670882,65694747,65700866,65707484,65710814,65725028,65751500,65752602,65774686,65817639,	65458204,65461716,65463914,65483446,65486270,65487306,65487717,65488475,65490245,65491446,65493616,65494883,65496997,65499002,65504166,65504690,65525313,65549359,65568087,65577762,65586181,65588291,65588441,65591875,65592624,65602038,65606496,65651658,65652533,65670960,65694807,65701037,65707544,65710868,65725088,65751533,65752764,65774896,65817865,	0	TRDN	cmpl	cmpl	1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
156	NM_001286970	chr1	-	87811782	87830635	87812067	87823131	13	87811782,87813017,87814562,87815870,87816769,87818691,87818934,87820806,87821322,87822274,87822862,87823065,87830503,	87812121,87813140,87814621,87815966,87816863,87818748,87819014,87820897,87821436,87822369,87822971,87823145,87830635,	0	ANXA1	cmpl	cmpl	0,0,1,1,0,0,1,0,0,1,0,0,-1,
160	NM_001109958	chr1	-	91355666	91378319	91355811	91378284	5	91355666,91360619,91368020,91370712,91378116,	91355962,91360717,91368141,91370810,91378319,	0	FXN	cmpl	cmpl	2,0,2,0,0,
160	NM_001313837	chr1	-	92130580	92188052	92130783	92187974	15	92130580,92131275,92134372,92134540,92140854,92144508,92150173,92155904,92158126,92163583,92164952,92180300,92181498,92184133,92187820,	92130890,92131405,92134438,92134609,92140906,92144565,92150218,92155991,92158173,92163621,92165012,92180392,92181595,92184220,92188052,	0	CBWD1	cmpl	cmpl	1,0,0,0,2,2,2,2,0,1,1,2,1,1,0,
180	NM_001013844	chr1	-	112979948	112984081	112979948	112984081	4	112979948,112981350,112981699,112983955,	112980410,112981458,112982020,112984081,	0	FOSB	cmpl	cmpl	0,0,0,0,
182	NM_001287004	chr1	+	115170519	115222057	115174266	115221466	28	115170519,115174216,115174621,115177238,115177432,115179480,115181165,115181316,115183150,115183689,115183903,115191123,115204846,115205164,115205714,115205736,115205761,115205779,115205785,115205792,115205797,115205800,115205858,115213756,115215131,115217205,115217429,115221037,	115170772,115174345,115174786,115177336,115177598,115179659,115181219,115181478,115183303,115183794,115184011,115191327,115204963,115205274,115205736,115205761,115205779,115205785,115205792,115205797,115205800,115205856,115205880,115213922,115215357,115217334,115217551,115222057,	0	GRIK5	cmpl	cmpl	-1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,1,0,1,2,1,1,2,1,2,0,1,1,0,
183	NM_001006652	chr1	+	115726060	115741796	115726066	115740654	9	115726060,115730138,115730447,115732217,115733810,115734465,115736997,115737352,115740463,	115726237,115730301,115730597,115732378,115733987,115734607,115737185,115737494,115741796,	0	CYP2B6	cmpl	cmpl	0,0,1,1,0,0,1,0,1,
187	NM_001197117	chr1	+	119666321	119669486	119666404	119669319	5	119666321,119666849,119667028,119667331,119669253,	119666465,119666876,119667163,119667378,119669486,	0	TYROBP	cmpl	cmpl	0,1,1,1,0,
189	NM_001003008	chr1	+	121974059	122031890	121974074	122030758	24	121974059,121986480,122001611,122004366,122012566,122012944,122015005,122017417,122017520,122017523,122017534,122017545,122017562,122017564,122017571,122017576,122017587,122018008,122019985,122021660,122023630,122024434,122024867,122030497,	121974143,121986596,122001740,122004442,122012644,122013069,122015172,122017520,122017523,122017534,122017545,122017562,122017564,122017571,122017576,122017587,122017596,122018165,122020105,122021855,122023707,122024581,122025023,122031890,	0	RHPN2	cmpl	cmpl	0,0,2,2,0,0,2,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,
646	NM_001193298	chr1	+	8072683	8108427	8072715	8108404	5	8072683,8100547,8102530,8106582,8108322,	8072844,8100676,8102560,8106617,8108427,	0	CYB5A	cmpl	cmpl	0,0,0,0,2,
719	NR_036669	chr1	-	17676281	17677005	17677005	17677005	1	17676281,	17677005,	0	PPIAP1	unk	unk	-1,
731	NM_001080724	chr1	+	19140843	19141842	19140843	19141842	1	19140843,	19141842,	0	MC4R	cmpl	cmpl	0,
733	NM_001195771	chr1	-	19478807	19481925	19478808	19481923	2	19478807,19481865,	19478915,19481925,	0	PMAIP1	cmpl	cmpl	1,0,
737	NM_001003312	chr1	-	20029182	20044726	20029215	20044656	6	20029182,20029881,20031986,20034230,20038138,20044569,	20029269,20029939,20032106,20034380,20038248,20044726,	0	SEC11C	cmpl	cmpl	0,2,2,2,0,0,
742	NR_049246	chr1	-	20601555	20601613	20601613	20601613	1	20601555,	20601613,	0	MIR122	unk	unk	-1,
768	NM_001371796	chr1	-	24088305	24101365	24089882	24101341	9	24088305,24090820,24092354,24093248,24095270,24096573,24099595,24100344,24101257,	24090017,24090967,24092468,24093358,24095424,24096804,24099802,24100578,24101365,	0	CUPIN1	cmpl	cmpl	0,0,0,1,0,0,0,0,0,
804	NM_001003372	chr1	-	28714703	28736967	28715076	28733472	7	28714703,28716210,28722249,28723050,28724024,28733258,28736827,	28715259,28716381,28722611,28723342,28724219,28733508,28736967,	0	VNN1	cmpl	cmpl	0,0,1,0,0,0,-1,
813	NM_001252259	chr1	+	29938759	29975894	29967282	29975446	7	29938759,29967238,29969760,29970003,29972598,29972813,29975366,	29938951,29967417,29969843,29970067,29972702,29972908,29975894,	0	TBPL1	cmpl	cmpl	-1,0,0,2,0,2,1,
915	NM_001286992	chr1	-	43338363	43383523	43339443	43383471	13	43338363,43347669,43352902,43356742,43361157,43363752,43373029,43373888,43374882,43376192,43376576,43376727,43383401,	43339695,43347817,43352999,43356854,43361224,43363877,43373146,43373985,43375025,43376310,43376641,43376795,43383523,	0	PPIL4	cmpl	cmpl	0,2,1,0,2,0,0,2,0,2,0,1,0,
916	NM_001024635	chr1	-	43483537	43502447	43484015	43498858	5	43483537,43486647,43494941,43498516,43502314,	43484606,43488158,43495089,43499005,43502447,	0	LATS1	cmpl	cmpl	0,1,0,0,-1,
947	NR_128853	chr1	-	47489611	47489756	47489756	47489756	1	47489611,	47489756,	0	MIR8873B	unk	unk	-1,
952	NM_001101833	chr1	-	48173744	48231143	48173744	48231143	13	48173744,48184044,48188299,48199911,48206521,48208586,48213641,48217135,48219853,48229069,48230150,48230363,48231095,	48173871,48184169,48188446,48200071,48206775,48208679,48213771,48217317,48219999,48229154,48230261,48230459,48231143,	0	NOX3	cmpl	cmpl	2,0,0,2,0,0,2,0,1,0,0,0,0,
982	NM_001284493	chr1	+	52132385	52147589	52146609	52147589	4	52132385,52146573,52147204,52147222,	52132597,52147203,52147221,52147589,	0	MAS1	cmpl	cmpl	-1,0,0,2,
982	NR_049245	chr1	-	52072981	52073038	52073038	52073038	1	52072981,	52073038,	0	MIR1836	unk	unk	-1,
984	NM_001286961	chr1	-	52372112	52392927	52372112	52392763	10	52372112,52375152,52376070,52377042,52378589,52380180,52383023,52385523,52390811,52392352,	52372216,52375265,52376179,52377257,52378696,52380295,52383192,52385678,52390915,52392927,	0	SLC22A2	cmpl	cmpl	1,2,1,2,0,2,1,2,0,0,
1021	NM_001003092	chr1	-	57228891	57237728	57228891	57237728	8	57228891,57231784,57233209,57234960,57235142,57236010,57236851,57237522,	57229165,57231914,57233383,57235022,57235204,57236145,57237116,57237728,	0	TBXT	cmpl	cmpl	2,1,1,2,0,0,2,0,
1038	NM_001197156	chr1	-	59452310	59479766	59452710	59477077	21	59452310,59454416,59455942,59456607,59457318,59458821,59459564,59460906,59461437,59462374,59463080,59463303,59463973,59464850,59465641,59467360,59468005,59473072,59474883,59477025,59479641,	59452718,59454556,59456040,59456879,59457546,59459056,59459683,59461066,59461545,59462593,59463233,59463431,59464147,59465027,59465812,59467457,59468147,59473157,59475437,59477098,59479766,	0	THBS2	cmpl	cmpl	1,2,0,1,1,0,1,0,0,0,0,1,1,1,1,0,2,0,1,0,-1,
1055	NM_001003332	chr1	+	61632414	61643805	61641373	61641532	2	61632414,61641272,	61632497,61643805,	0	PLN	cmpl	cmpl	-1,0,
1073	NM_001002951	chr1	+	63994931	63997854	63994947	63996096	1	63994931,	63997854,	0	GJA1	cmpl	cmpl	0,
1155	NR_049241	chr1	-	74734228	74734290	74734290	74734290	1	74734228,	74734290,	0	MIR24-1	unk	unk	-1,
1155	NR_049239	chr1	-	74734973	74735027	74735027	74735027	1	74734973,	74735027,	0	MIR23B	unk	unk	-1,
1155	NR_049240	chr1	-	74734737	74734800	74734800	74734800	1	74734737,	74734800,	0	MIR27B	unk	unk	-1,
1184	NM_001256548	chr1	+	78555695	78567327	78557583	78566091	17	78555695,78557371,78557556,78558033,78558759,78560261,78561184,78561782,78562353,78562809,78563494,78563935,78564255,78564601,78564694,78565169,78566057,	78555757,78557448,78557641,78558131,78558816,78560305,78561257,78561854,78562467,78562938,78563802,78563990,78564339,78564617,78564777,78565339,78567327,	0	HNRNPK	cmpl	cmpl	-1,-1,0,1,0,0,2,0,0,0,0,2,0,0,1,0,2,
1184	NR_049263	chr1	+	78565663	78565727	78565727	78565727	1	78565663,	78565727,	0	MIR7-1	unk	unk	-1,
1256	NM_001286977	chr1	+	88008034	88062413	88008078	88061871	13	88008034,88021109,88029066,88031309,88032972,88034412,88036159,88040552,88042430,88046570,88054393,88057066,88061798,	88008144,88021214,88029207,88031439,88033034,88034541,88036273,88040655,88042615,88046735,88054551,88057141,88062413,	0	ALDH1A1	cmpl	cmpl	0,0,0,0,1,0,0,0,1,0,0,2,2,
1270	NR_049224	chr1	+	89887248	89887308	89887308	89887308	1	89887248,	89887308,	0	MIR204	unk	unk	-1,
1304	NM_001286978	chr1	+	94308504	94338934	94308513	94338325	19	94308504,94320806,94324643,94326173,94328019,94328489,94328699,94329280,94329548,94330707,94331478,94332573,94333232,94333698,94334632,94335636,94336097,94337255,94338289,	94308595,94320926,94324766,94326296,94328391,94328612,94328822,94329400,94329674,94330879,94331697,94332692,94333372,94333840,94334779,94335720,94336178,94337425,94338934,	0	VLDLR	cmpl	cmpl	0,1,1,1,1,1,1,1,1,1,2,2,1,0,1,1,1,1,0,
1317	NM_001003139	chr1	+	95964612	96044599	95964618	96042686	12	95964612,96002814,96021719,96023449,96024765,96026198,96029316,96030574,96032553,96033088,96041157,96042439,	95964709,96002955,96021812,96023564,96024808,96026297,96029501,96030682,96032676,96033283,96041292,96044599,	0	SLC1A1	cmpl	cmpl	0,1,1,1,2,0,0,2,2,2,2,2,
1319	NR_049226	chr1	+	96260666	96260721	96260721	96260721	1	96260666,	96260721,	0	MIR101-2	unk	unk	-1,
1321	NM_001003132	chr1	-	96566438	96570855	96566438	96570855	2	96566438,96570647,	96566764,96570855,	0	RLN2	cmpl	cmpl	1,0,
1322	NM_001291972	chr1	+	96651274	96669279	96655207	96668678	7	96651274,96655193,96656351,96663292,96665646,96667463,96668655,	96651335,96655259,96656693,96663577,96665754,96667523,96669279,	0	CD274	cmpl	cmpl	-1,0,1,1,1,1,1,
1355	NR_128854	chr1	-	100970916	100971041	100971041	100971041	1	100970916,	100971041,	0	MIRLET7D	unk	unk	-1,
1355	NR_049237	chr1	-	100972835	100972913	100972913	100972913	1	100972835,	100972913,	0	MIRLET7F	unk	unk	-1,
1360	NR_128859	chr1	+	101673084	101673201	101673201	101673201	1	101673084,	101673201,	0	MIR8893	unk	unk	-1,
1388	NM_001286964	chr1	+	105359224	105363514	105359395	105363357	4	105359224,105359942,105361138,105363027,	105359398,105360090,105361329,105363514,	0	UBE2S	cmpl	cmpl	0,0,1,0,
1389	NM_001313775	chr1	-	105386617	105387851	105386661	105387833	5	105386617,105386989,105387154,105387646,105387775,	105386902,105387074,105387280,105387682,105387851,	0	TMEM190	cmpl	cmpl	2,1,1,1,0,
1390	NM_001003041	chr1	+	105551207	105554381	105551346	105554318	8	105551207,105551592,105551743,105552194,105552538,105553045,105553632,105554234,	105551357,105551605,105551830,105552236,105552670,105553135,105553809,105554381,	0	TNNI3	cmpl	cmpl	0,2,0,0,0,0,0,0,
1391	NM_001284448	chr1	-	105761806	105766099	105761810	105766099	7	105761806,105762154,105763222,105763533,105765484,105765947,105766065,	105762028,105762202,105763273,105763812,105765769,105765983,105766099,	0	NCR1	cmpl	cmpl	1,1,1,1,1,1,0,
1394	NM_001286979	chr1	-	106149197	106166480	106149452	106164744	14	106149197,106150921,106151115,106151707,106151860,106152941,106156899,106158817,106160529,106161545,106162232,106164406,106164567,106166391,	106149578,106151020,106151244,106151780,106151988,106153031,106157057,106158987,106160636,106161643,106162316,106164467,106164752,106166480,	0	PRPF31	cmpl	cmpl	0,0,0,2,0,0,1,2,0,1,1,0,0,-1,
1397	NR_049227	chr1	+	106488133	106488193	106488193	106488193	1	106488133,	106488193,	0	MIR371	unk	unk	-1,
1398	NM_001003331	chr1	-	106592495	106606489	106592971	106597919	6	106592495,106596576,106597910,106603446,106605417,106606385,	106594308,106596703,106597958,106603546,106605483,106606489,	0	ZNF331	cmpl	cmpl	1,0,0,-1,-1,-1,
1398	NM_001013852	chr1	+	106636393	106637344	106636393	106637344	1	106636393,	106637344,	0	VN1R4	cmpl	cmpl	0,
1406	NR_128856	chr1	+	107665987	107666130	107666130	107666130	1	107665987,	107666130,	0	MIR8891	unk	unk	-1,
1411	NR_049236	chr1	-	108280389	108280449	108280449	108280449	1	108280389,	108280449,	0	MIR125A	unk	unk	-1,
1411	NR_049235	chr1	-	108280856	108280923	108280923	108280923	1	108280856,	108280923,	0	MIRLET7E	unk	unk	-1,
1411	NR_049234	chr1	-	108281041	108281101	108281101	108281101	1	108281041,	108281101,	0	MIR99B	unk	unk	-1,
1414	NM_001197166	chr1	+	108781688	108789385	108781688	108789385	5	108781688,108782046,108785638,108787017,108789232,	108781734,108782203,108785886,108787154,108789385,	0	KLK6	cmpl	cmpl	0,1,2,1,0,
1414	NM_001197165	chr1	+	108771219	108774343	108771219	108774343	5	108771219,108771745,108772063,108772517,108774187,	108771292,108771905,108772311,108772654,108774343,	0	KLK7	cmpl	cmpl	0,1,2,1,0,
1414	NM_001197163	chr1	+	108754819	108760279	108754819	108760206	4	108754819,108755368,108755684,108760123,	108754889,108755528,108755944,108760279,	0	KLK8	cmpl	cmpl	0,1,2,1,
1414	NM_001197162	chr1	+	108754819	108760279	108754819	108760279	5	108754819,108755368,108755684,108758793,108760123,	108754889,108755528,108755944,108758927,108760279,	0	KLK8	cmpl	cmpl	0,1,2,1,0,
1414	NM_001197158	chr1	+	108740501	108743780	108740501	108743307	5	108740501,108741275,108742024,108742452,108743154,	108740592,108741459,108742299,108742586,108743780,	0	KLK10	cmpl	cmpl	0,1,2,1,0,
1414	NM_001171773	chr1	+	108747688	108752689	108747688	108752689	5	108747688,108747908,108750249,108751662,108752536,	108747731,108748065,108750515,108751799,108752689,	0	KLK9	cmpl	cmpl	0,1,2,1,0,
1414	NM_001165879	chr1	+	108691776	108696178	108691797	108696178	5	108691776,108692667,108694908,108695291,108696025,	108691837,108692839,108695162,108695428,108696178,	0	KLK14	cmpl	cmpl	0,1,2,1,0,
1415	NM_001197169	chr1	+	108833501	108836975	108833501	108836975	5	108833501,108834917,108835494,108835831,108836822,	108833562,108835080,108835745,108835968,108836975,	0	KLK4	cmpl	cmpl	0,1,2,1,0,
1415	NM_001197167	chr1	+	108796270	108804096	108796270	108804096	5	108796270,108798227,108799531,108799914,108803940,	108796343,108798492,108799788,108800048,108804096,	0	KLK5	cmpl	cmpl	0,1,2,1,0,
1415	NM_001003284	chr1	-	108863121	108866361	108863167	108866326	5	108863121,108864246,108864568,108865922,108866280,	108863323,108864383,108864852,108866082,108866361,	0	KLK2	cmpl	cmpl	0,1,2,1,0,
1415	NM_001003262	chr1	+	108891048	108910255	108891052	108910210	5	108891048,108907729,108908902,108909337,108910054,	108891098,108907889,108909189,108909474,108910255,	0	KLK1	cmpl	cmpl	0,1,2,1,0,
1416	NM_001384865	chr1	+	108941008	108941438	108941058	108941349	3	108941008,108941161,108941337,	108941073,108941221,108941438,	0	LOC102154339	cmpl	cmpl	0,0,0,
1423	NM_001313783	chr1	-	109887896	109890689	109887976	109890473	5	109887896,109888915,109889354,109889634,109890458,	109888100,109889045,109889430,109889766,109890689,	0	RPS11	cmpl	cmpl	2,1,0,0,0,
1423	NM_001313766	chr1	-	109897822	109901899	109898325	109901801	8	109897822,109898611,109899007,109899245,109899539,109899837,109900281,109901786,	109898412,109898734,109899067,109899331,109899641,109899903,109900354,109901899,	0	RPL13A	cmpl	cmpl	0,0,0,1,1,1,0,0,
1423	NM_001003350	chr1	-	109902853	109912340	109902870	109912306	7	109902853,109906346,109910232,109910717,109911077,109911406,109912273,	109903089,109906531,109910371,109910861,109911131,109911517,109912340,	0	FLT3LG	cmpl	cmpl	0,1,0,0,0,0,0,
1423	NR_049229	chr1	+	109886387	109886444	109886444	109886444	1	109886387,	109886444,	0	MIR150	unk	unk	-1,
1424	NR_128855	chr1	+	110009132	110009267	110009267	110009267	1	110009132,	110009267,	0	MIR8890	unk	unk	-1,
1426	NM_001003011	chr1	-	110312434	110313918	110312434	110313864	4	110312434,110312965,110313202,110313830,	110312571,110313112,110313254,110313918,	0	BAX	incmpl	cmpl	2,2,1,0,
1426	NM_001003160	chr1	-	110321816	110332522	110321816	110332522	7	110321816,110322172,110323035,110328085,110330449,110331920,110332432,	110321926,110322326,110323160,110328338,110330613,110332032,110332522,	0	DHDH	cmpl	cmpl	1,0,1,0,1,0,0,
1426	NM_001190429	chr1	+	110258667	110264451	110258688	110264451	3	110258667,110258688,110263806,	110258687,110258694,110264451,	0	NTF4	cmpl	cmpl	-1,0,0,
1426	NM_001024636	chr1	-	110305911	110307378	110306077	110307172	4	110305911,110306346,110306754,110307070,	110306230,110306472,110306901,110307378,	0	FTL	cmpl	cmpl	0,0,0,0,
1426	NM_001197033	chr1	+	110270318	110271493	110270318	110271415	3	110270318,110270688,110271172,	110270333,110270856,110271493,	0	LHB	cmpl	cmpl	0,0,0,
1427	NM_001047981	chr1	+	110405474	110422937	110405956	110422766	10	110405474,110405844,110406557,110406756,110407308,110411555,110421876,110422230,110422394,110422592,	110405506,110406044,110406596,110406839,110407375,110411647,110421981,110422298,110422491,110422937,	0	HSD17B14	cmpl	cmpl	-1,0,1,1,0,1,0,0,2,0,
1428	NM_001251958	chr1	+	110575572	110579311	110575596	110579311	6	110575572,110576955,110577359,110578158,110579044,110579241,	110575599,110577042,110577467,110578257,110579168,110579311,	0	RPL18	cmpl	incmpl	0,0,0,0,0,1,
1432	NM_001003049	chr1	+	111135799	111146901	111141875	111144606	4	111135799,111141840,111142747,111143958,	111135866,111141975,111142899,111146901,	0	CRX	cmpl	cmpl	-1,0,1,0,
1432	NM_001002931	chr1	-	111045499	111073002	111047173	111072976	8	111045499,111047166,111049521,111050656,111054517,111058303,111060025,111072947,	111045921,111047331,111049680,111050803,111054655,111058369,111060114,111073002,	0	ELSPBP1	cmpl	cmpl	-1,1,1,1,1,1,2,0,
1433	NM_001115012	chr1	-	111171331	111175440	111173356	111175408	6	111171331,111173338,111173545,111173803,111173963,111175379,	111171761,111173437,111173620,111173857,111173988,111175440,	0	SELENOW	cmpl	cmpl	-1,0,0,0,2,0,
1436	NM_001003373	chr1	-	111545381	111561146	111546300	111561131	3	111545381,111546066,111561128,	111546056,111547356,111561146,	0	C5AR1	cmpl	cmpl	-1,0,0,
1438	NM_001003022	chr1	-	111838427	111919920	111839188	111919726	6	111838427,111840346,111848136,111850312,111902986,111916042,	111839546,111840452,111848268,111850390,111903131,111919920,	0	ARHGAP35	cmpl	cmpl	2,1,1,1,0,0,
1439	NM_001284450	chr1	+	112036077	112047014	112036179	112046662	9	112036077,112039230,112039727,112040680,112043022,112043133,112044026,112044359,112046427,	112036748,112039273,112039775,112040847,112043133,112043256,112044221,112044494,112047014,	0	SLC1A5	cmpl	cmpl	0,2,0,0,2,2,2,2,2,
